SeriesName_1: GDP: Gross domestic product (line 1) [Millions],Series Code_2: A191RC-Q,SeriesName_2: Employment: Total nonfarm  [Thousands],SeriesCode_2: CES0000000001
Date_1,GDP: Gross domestic product (line 1) [Millions],Date_2,Employment: Total nonfarm  [Thousands]
04-2010,1.4980193E7,02-1960,54513.0
07-2010,1.5141605E7,03-1960,54454.0
10-2010,1.5309471E7,04-1960,54813.0
01-2011,1.5351444E7,05-1960,54475.0
04-2011,1.5557535E7,06-1960,54348.0
07-2011,1.5647681E7,07-1960,54306.0
10-2011,1.5842267E7,08-1960,54272.0
01-2012,1.6068824E7,09-1960,54227.0
04-2012,1.620713E7,10-1960,54142.0
07-2012,1.631954E7,11-1960,53961.0
10-2012,1.6420386E7,12-1960,53742.0
01-2013,1.662905E7,01-1961,53683.0
04-2013,1.6699551E7,02-1961,53557.0
07-2013,1.6911068E7,03-1961,53659.0
10-2013,1.7133114E7,04-1961,53627.0
01-2014,1.7144281E7,05-1961,53786.0
04-2014,1.7462703E7,06-1961,53977.0
07-2014,1.7743227E7,07-1961,54123.0
10-2014,1.785254E7,08-1961,54298.0
01-2015,1.7991348E7,09-1961,54388.0
04-2015,1.8193707E7,10-1961,54522.0
07-2015,1.830696E7,11-1961,54742.0
10-2015,1.8332079E7,12-1961,54872.0
01-2016,1.8425306E7,01-1962,54891.0
04-2016,1.8611617E7,02-1962,55188.0
07-2016,1.8775459E7,03-1962,55275.0
10-2016,1.8968041E7,04-1962,55602.0
01-2017,1.9153912E7,05-1962,55628.0
04-2017,1.932292E7,06-1962,55644.0
07-2017,1.9558693E7,07-1962,55746.0
10-2017,1.9882965E7,08-1962,55838.0
01-2018,2.0143716E7,09-1962,55978.0
04-2018,2.0492492E7,10-1962,56041.0
07-2018,2.0659102E7,11-1962,56056.0
10-2018,2.0813325E7,12-1962,56028.0
01-2019,2.1001591E7,01-1963,56115.0
04-2019,2.1289268E7,02-1963,56230.0
07-2019,2.1505012E7,03-1963,56320.0
10-2019,2.1694458E7,04-1963,56580.0
01-2020,2.1481367E7,05-1963,56616.0
04-2020,1.9477444E7,06-1963,56659.0
07-2020,2.1138574E7,07-1963,56794.0
10-2020,2.1477597E7,08-1963,56910.0
